"CODIGO_DANE_MPIO_HOSPEDAJE","PIB_Dep_2023","Poblacion_Total","MDM_Texto","Valor_Transito_Superior","Cobertura_Acueducto","Indice_Capacidad","Indice_Positivo"
"15580",41792.52,5324.72,"G3- Nivel Medio",45.16,43.36,-0.407057612938709,0.516590043405441
"15599",41792.52,10693.77,"G1- Nivel Alto",35.43,90.18,1.47444991190035,0.841453954384177
"15600",41792.52,8571.04,"G3- Nivel Medio",25.86,32.67,-1.39041503446593,0.346802076240853
"15621",41792.52,2597.96,"G4- Nivel Medio Bajo",39.13,57.24,-0.711418113046675,0.464038703000371
"15638",41792.52,5984.38,"G1- Nivel Alto",26.42,89.38,1.07446018450995,0.772391128179174
"15646",41792.52,19900.26,"G1- Nivel Alto",34.03,97.31,1.51457368987745,0.848381786064254
"15660",41792.52,1819.13,"G2- Nivel Medio Alto",14.29,95.89,-0.441538459769163,0.510636528679978
"15673",41792.52,3617.18,"G3- Nivel Medio",41.38,63.45,-0.286894712240118,0.53733755005112
"15686",41792.52,8181.59,"G3- Nivel Medio",30.56,100,-0.238390164808257,0.545712417954089
"15690",41792.52,3809.86,"G1- Nivel Alto",68.75,94.43,2.97186564169927,1.1
"15693",41792.52,14180.31,"G4- Nivel Medio Bajo",54.64,100,0.560571655174636,0.683662364013716
"15696",41792.52,3448.88,"G1- Nivel Alto",20,89.73,0.802422009757571,0.725420608944534
"15753",41792.52,9565.6,"G3- Nivel Medio",51.85,90.76,0.549835658848886,0.681808670787092
"15757",41792.52,8574.8,"G2- Nivel Medio Alto",55.43,74.44,1.03091572291611,0.764872676135753
"15759",41792.52,137806.87,"G1- Nivel Alto",59.62,70.7,2.24341864677929,0.974225249388437
"15764",41792.52,6479.69,"G2- Nivel Medio Alto",48.53,3.7,-0.264098024565513,0.541273660333733
"15774",41792.52,2919.56,"G5- Nivel Bajo",34.78,82.54,-1.11937890606525,0.393599580649619
"15806",41792.52,14112.51,"G1- Nivel Alto",56.12,100,2.50550918152036,1.01947819418002
"15810",41792.52,3573.15,"G4- Nivel Medio Bajo",53.33,48.6,-0.220611069595608,0.548782183197222
"15814",41792.52,9478.89,"G2- Nivel Medio Alto",36.36,99.92,0.567426272340734,0.684845892493641
"15837",41792.52,8963.93,"G1- Nivel Alto",38.76,26.72,0.72341806140637,0.711779668738181
"17001",25947.82,457069.06,"Ciudades",50.01,96.13,1.66778828565218,0.874836047950165
"17013",25947.82,23574.7,"G3- Nivel Medio",31.06,40.69,-1.05300526604238,0.405059752878039
"17042",25947.82,37623.12,"G3- Nivel Medio",30.88,59.01,-0.80248505415867,0.448314948372793
"17050",25947.82,10909.75,"G3- Nivel Medio",15.91,58.06,-1.46171684715675,0.334490998328691
"17174",25947.82,53656.78,"G1- Nivel Alto",34.91,98.18,1.564804547468,0.857054721268208
"17272",25947.82,11787.19,"G4- Nivel Medio Bajo",35.53,37,-1.15208494810639,0.387952506380793
"17380",25947.82,75496.25,"G1- Nivel Alto",45.48,84.47,1.8275257966684,0.902416566164238
"17433",25947.82,18839.21,"G4- Nivel Medio Bajo",33.33,41.07,-1.18961652295069,0.381472248381212
"17442",25947.82,9334.7,"G3- Nivel Medio",13.1,93.73,-1.08005033088913,0.400390111421494
"17444",25947.82,13751.04,"G4- Nivel Medio Bajo",25.68,91.11,-0.814161616669713,0.446298855578027
"17486",25947.82,21693.9,"G3- Nivel Medio",26.19,99.99,-0.427062394488117,0.51313598782149
"17513",25947.82,15841.3,"G3- Nivel Medio",20.49,64.58,-1.17220307348707,0.384478880680952
"17616",25947.82,11385.14,"G3- Nivel Medio",28.1,100,-0.344519881099446,0.52738790197408
